version,classpath,LOC,LOC_TOUCHED,REVS,FIXES,AUTH,LOC_ADDED,MAX_LOC_ADDED,AVG_LOC_ADDED,CHURN,MAX_CHURN,AVG_CHURN,CHANGE_SET_SIZE,MAX_CHANGE_SET,AVG_CHANGE_SET,AGE,WEIGHTED_AGE,COMMENT_LINES,NESTING_DEPTH,DECISION_POINTS,nsmells,DISTINCT_SMELL_TYPES,BUGGY
"1.2.0","src/java/org/apache/avro/file/SeekableInput.java",8,0,0,1,0,0,0,0.000000,0,0,0.000000,295,110,59.000000,396,385.075630,22,0,0,"0",0,"NO"
"1.2.0","src/java/org/apache/avro/file/SeekableFileInput.java",11,0,0,0,0,0,0,0.000000,0,0,0.000000,285,110,71.250000,396,390.554455,18,0,0,"0",0,"NO"
"1.2.0","src/java/org/apache/avro/file/DataFileWriter.java",137,25,1,2,1,9,9,9.000000,7,7,7.000000,366,110,40.666667,396,381.910543,46,1,5,"4",3,"NO"
"1.2.0","src/java/org/apache/avro/file/DataFileReader.java",167,30,1,1,1,19,19,19.000000,8,8,8.000000,359,110,44.875000,396,383.571429,45,3,21,"16",5,"NO"
"1.2.0","src/java/org/apache/avro/file/DataFileConstants.java",15,31,1,1,1,17,17,17.000000,3,3,3.000000,291,110,58.200000,396,349.325758,20,0,0,"0",0,"NO"
"1.2.0","src/java/org/apache/avro/SchemaParseException.java",5,1,1,0,1,1,1,1.000000,1,1,1.000000,289,110,57.800000,396,392.040541,18,0,0,"0",0,"NO"
"1.2.0","src/java/org/apache/avro/Schema.java",642,130,1,1,1,88,88,88.000000,46,46,46.000000,483,110,23.000000,396,368.869622,84,8,96,"133",17,"YES"
"1.2.0","src/java/org/apache/avro/Protocol.java",256,17,1,1,1,15,15,15.000000,13,13,13.000000,463,110,28.937500,396,384.387182,55,3,32,"29",5,"YES"
"1.2.0","src/java/org/apache/avro/AvroTypeException.java",4,0,0,0,0,0,0,0.000000,0,0,0.000000,311,110,62.200000,396,392.704545,18,0,0,"0",0,"NO"
"1.2.0","src/java/org/apache/avro/AvroRuntimeException.java",5,1,1,0,1,1,1,1.000000,1,1,1.000000,289,110,57.800000,396,392.040541,18,0,0,"0",0,"NO"
"1.3.0","lang/java/src/java/org/apache/avro/SchemaParseException.java",5,0,1,0,1,0,0,0.000000,0,0,0.000000,723,434,120.500000,396,392.040541,18,0,0,"0",0,"NO"
